Lat;Lang;Province;Country;Date;Total Confirmed Cases;Total Deaths;Total Recovered;Active Cases;New Cases;New Deaths;New Recovered
15.0;101.0;;Thailand;2020-02-18;35;0;15;20;0;0;0
15.0;101.0;;Thailand;2020-02-19;35;0;15;20;0;0;0
15.0;101.0;;Thailand;2020-02-20;35;0;15;20;0;0;0
15.0;101.0;;Thailand;2020-02-21;35;0;17;18;0;0;2
15.0;101.0;;Thailand;2020-02-22;35;0;17;18;0;0;0
15.0;101.0;;Thailand;2020-02-23;35;0;21;14;0;0;4
15.0;101.0;;Thailand;2020-02-24;35;0;21;14;0;0;0
15.0;101.0;;Thailand;2020-02-25;37;0;22;15;2;0;1
15.0;101.0;;Thailand;2020-02-26;40;0;22;18;3;0;0
15.0;101.0;;Thailand;2020-02-27;40;0;22;18;0;0;0
15.0;101.0;;Thailand;2020-02-28;41;0;28;13;1;0;6
15.0;101.0;;Thailand;2020-02-29;42;0;28;14;1;0;0
15.0;101.0;;Thailand;2020-03-01;42;1;28;13;0;1;0
15.0;101.0;;Thailand;2020-03-02;43;1;31;11;1;0;3
15.0;101.0;;Thailand;2020-03-03;43;1;31;11;0;0;0
15.0;101.0;;Thailand;2020-03-04;43;1;31;11;0;0;0
15.0;101.0;;Thailand;2020-03-05;47;1;31;15;4;0;0
15.0;101.0;;Thailand;2020-03-06;48;1;31;16;1;0;0
15.0;101.0;;Thailand;2020-03-07;50;1;31;18;2;0;0
15.0;101.0;;Thailand;2020-03-08;50;1;31;18;0;0;0
15.0;101.0;;Thailand;2020-03-09;50;1;31;18;0;0;0
15.0;101.0;;Thailand;2020-03-10;53;1;33;19;3;0;2
15.0;101.0;;Thailand;2020-03-11;59;1;34;24;6;0;1
15.0;101.0;;Thailand;2020-03-12;70;1;34;35;11;0;0
15.0;101.0;;Thailand;2020-03-13;75;1;35;39;5;0;1
15.0;101.0;;Thailand;2020-03-14;82;1;35;46;7;0;0
15.0;101.0;;Thailand;2020-03-15;114;1;35;78;32;0;0
15.0;101.0;;Thailand;2020-03-16;147;1;35;111;33;0;0
15.0;101.0;;Thailand;2020-03-17;177;1;41;135;30;0;6
15.0;101.0;;Thailand;2020-03-18;212;1;42;169;35;0;1
15.0;101.0;;Thailand;2020-03-19;272;1;42;229;60;0;0
15.0;101.0;;Thailand;2020-03-20;322;1;42;279;50;0;0
15.0;101.0;;Thailand;2020-03-21;411;1;42;368;89;0;0
15.0;101.0;;Thailand;2020-03-22;599;1;44;554;188;0;2
15.0;101.0;;Thailand;2020-03-23;599.0;1.0;44.0;554.0;0.0;0.0;0.0
36.0;138.0;;Japan;2020-01-22;2;0;0;2;0;0;0
36.0;138.0;;Japan;2020-01-23;1;0;0;1;0;0;0
36.0;138.0;;Japan;2020-01-24;2;0;0;2;1;0;0
36.0;138.0;;Japan;2020-01-25;2;0;0;2;0;0;0
36.0;138.0;;Japan;2020-01-26;4;0;1;3;2;0;1
36.0;138.0;;Japan;2020-01-27;4;0;1;3;0;0;0
36.0;138.0;;Japan;2020-01-28;7;0;1;6;3;0;0
36.0;138.0;;Japan;2020-01-29;7;0;1;6;0;0;0
36.0;138.0;;Japan;2020-01-30;11;0;1;10;4;0;0
36.0;138.0;;Japan;2020-01-31;15;0;1;14;4;0;0
36.0;138.0;;Japan;2020-02-01;20;0;1;19;5;0;0
36.0;138.0;;Japan;2020-02-02;20;0;1;19;0;0;0
36.0;138.0;;Japan;2020-02-03;20;0;1;19;0;0;0
36.0;138.0;;Japan;2020-02-04;22;0;1;21;2;0;0
36.0;138.0;;Japan;2020-02-05;22;0;1;21;0;0;0
36.0;138.0;;Japan;2020-02-06;45;0;1;44;23;0;0
36.0;138.0;;Japan;2020-02-07;25;0;1;24;0;0;0
36.0;138.0;;Japan;2020-02-08;25;0;1;24;0;0;0
36.0;138.0;;Japan;2020-02-09;26;0;1;25;1;0;0
36.0;138.0;;Japan;2020-02-10;26;0;4;22;0;0;3
36.0;138.0;;Japan;2020-02-11;26;0;9;17;0;0;5
36.0;138.0;;Japan;2020-02-12;28;0;9;19;2;0;0
36.0;138.0;;Japan;2020-02-13;28;1;9;18;0;1;0
36.0;138.0;;Japan;2020-02-14;29;1;9;19;1;0;0
36.0;138.0;;Japan;2020-02-15;43;1;12;30;14;0;3
36.0;138.0;;Japan;2020-02-16;59;1;12;46;16;0;0
36.0;138.0;;Japan;2020-02-17;66;1;12;53;7;0;0
36.0;138.0;;Japan;2020-02-18;74;1;13;60;8;0;1
36.0;138.0;;Japan;2020-02-19;84;1;18;65;10;0;5
36.0;138.0;;Japan;2020-02-20;94;1;18;75;10;0;0
36.0;138.0;;Japan;2020-02-21;105;1;22;82;11;0;4
36.0;138.0;;Japan;2020-02-22;122;1;22;99;17;0;0
36.0;138.0;;Japan;2020-02-23;147;1;22;124;25;0;0
36.0;138.0;;Japan;2020-02-24;159;1;22;136;12;0;0
36.0;138.0;;Japan;2020-02-25;170;1;22;147;11;0;0
36.0;138.0;;Japan;2020-02-26;189;2;22;165;19;1;0
36.0;138.0;;Japan;2020-02-27;214;4;22;188;25;2;0
36.0;138.0;;Japan;2020-02-28;228;4;22;202;14;0;0
36.0;138.0;;Japan;2020-02-29;241;5;32;204;13;1;10
36.0;138.0;;Japan;2020-03-01;256;6;32;218;15;1;0
36.0;138.0;;Japan;2020-03-02;274;6;32;236;18;0;0
36.0;138.0;;Japan;2020-03-03;293;6;43;244;19;0;11
36.0;138.0;;Japan;2020-03-04;331;6;43;282;38;0;0
36.0;138.0;;Japan;2020-03-05;360;6;43;311;29;0;0
36.0;138.0;;Japan;2020-03-06;420;6;46;368;60;0;3
36.0;138.0;;Japan;2020-03-07;461;6;76;379;41;0;30
36.0;138.0;;Japan;2020-03-08;502;6;76;420;41;0;0
36.0;138.0;;Japan;2020-03-09;511;10;76;425;9;4;0
36.0;138.0;;Japan;2020-03-10;581;10;101;470;70;0;25
36.0;138.0;;Japan;2020-03-11;639;15;118;506;58;5;17
36.0;138.0;;Japan;2020-03-12;639;16;118;505;0;1;0
36.0;138.0;;Japan;2020-03-13;701;19;118;564;62;3;0
36.0;138.0;;Japan;2020-03-14;773;22;118;633;72;3;0
36.0;138.0;;Japan;2020-03-15;839;22;118;699;66;0;0
36.0;138.0;;Japan;2020-03-16;825;27;144;654;0;5;26
36.0;138.0;;Japan;2020-03-17;878;29;144;705;53;2;0
36.0;138.0;;Japan;2020-03-18;889;29;144;716;11;0;0
36.0;138.0;;Japan;2020-03-19;924;29;150;745;35;0;6
36.0;138.0;;Japan;2020-03-20;963;33;191;739;39;4;41
36.0;138.0;;Japan;2020-03-21;1007;35;232;740;44;2;41
36.0;138.0;;Japan;2020-03-22;1086;40;235;811;79;5;3
36.0;138.0;;Japan;2020-03-23;1086.0;40.0;235.0;811.0;0.0;0.0;0.0
1.2833;103.8333;;Singapore;2020-01-22;0;0;0;0;0;0;0
1.2833;103.8333;;Singapore;2020-01-23;1;0;0;1;1;0;0
1.2833;103.8333;;Singapore;2020-01-24;3;0;0;3;2;0;0
1.2833;103.8333;;Singapore;2020-01-25;3;0;0;3;0;0;0
1.2833;103.8333;;Singapore;2020-01-26;4;0;0;4;1;0;0
1.2833;103.8333;;Singapore;2020-01-27;5;0;0;5;1;0;0
1.2833;103.8333;;Singapore;2020-01-28;7;0;0;7;2;0;0
1.2833;103.8333;;Singapore;2020-01-29;7;0;0;7;0;0;0
1.2833;103.8333;;Singapore;2020-01-30;10;0;0;10;3;0;0
1.2833;103.8333;;Singapore;2020-01-31;13;0;0;13;3;0;0
1.2833;103.8333;;Singapore;2020-02-01;16;0;0;16;3;0;0
1.2833;103.8333;;Singapore;2020-02-02;18;0;0;18;2;0;0
1.2833;103.8333;;Singapore;2020-02-03;18;0;0;18;0;0;0
1.2833;103.8333;;Singapore;2020-02-04;24;0;0;24;6;0;0
1.2833;103.8333;;Singapore;2020-02-05;28;0;0;28;4;0;0
1.2833;103.8333;;Singapore;2020-02-06;28;0;0;28;0;0;0
1.2833;103.8333;;Singapore;2020-02-07;30;0;0;30;2;0;0
1.2833;103.8333;;Singapore;2020-02-08;33;0;2;31;3;0;2
1.2833;103.8333;;Singapore;2020-02-09;40;0;2;38;7;0;0
1.2833;103.8333;;Singapore;2020-02-10;45;0;2;43;5;0;0
1.2833;103.8333;;Singapore;2020-02-11;47;0;9;38;2;0;7
1.2833;103.8333;;Singapore;2020-02-12;50;0;15;35;3;0;6
1.2833;103.8333;;Singapore;2020-02-13;58;0;15;43;8;0;0
1.2833;103.8333;;Singapore;2020-02-14;67;0;17;50;9;0;2
1.2833;103.8333;;Singapore;2020-02-15;72;0;18;54;5;0;1
1.2833;103.8333;;Singapore;2020-02-16;75;0;18;57;3;0;0
1.2833;103.8333;;Singapore;2020-02-17;77;0;24;53;2;0;6
1.2833;103.8333;;Singapore;2020-02-18;81;0;29;52;4;0;5
1.2833;103.8333;;Singapore;2020-02-19;84;0;34;50;3;0;5
1.2833;103.8333;;Singapore;2020-02-20;84;0;34;50;0;0;0
1.2833;103.8333;;Singapore;2020-02-21;85;0;37;48;1;0;3
1.2833;103.8333;;Singapore;2020-02-22;85;0;37;48;0;0;0
1.2833;103.8333;;Singapore;2020-02-23;89;0;51;38;4;0;14
1.2833;103.8333;;Singapore;2020-02-24;89;0;51;38;0;0;0
1.2833;103.8333;;Singapore;2020-02-25;91;0;53;38;2;0;2
1.2833;103.8333;;Singapore;2020-02-26;93;0;62;31;2;0;9
1.2833;103.8333;;Singapore;2020-02-27;93;0;62;31;0;0;0
1.2833;103.8333;;Singapore;2020-02-28;93;0;62;31;0;0;0
1.2833;103.8333;;Singapore;2020-02-29;102;0;72;30;9;0;10
1.2833;103.8333;;Singapore;2020-03-01;106;0;72;34;4;0;0
1.2833;103.8333;;Singapore;2020-03-02;108;0;78;30;2;0;6
1.2833;103.8333;;Singapore;2020-03-03;110;0;78;32;2;0;0
1.2833;103.8333;;Singapore;2020-03-04;110;0;78;32;0;0;0
1.2833;103.8333;;Singapore;2020-03-05;117;0;78;39;7;0;0
1.2833;103.8333;;Singapore;2020-03-06;130;0;78;52;13;0;0
1.2833;103.8333;;Singapore;2020-03-07;138;0;78;60;8;0;0
1.2833;103.8333;;Singapore;2020-03-08;150;0;78;72;12;0;0
1.2833;103.8333;;Singapore;2020-03-09;150;0;78;72;0;0;0
1.2833;103.8333;;Singapore;2020-03-10;160;0;78;82;10;0;0
1.2833;103.8333;;Singapore;2020-03-11;178;0;96;82;18;0;18
1.2833;103.8333;;Singapore;2020-03-12;178;0;96;82;0;0;0
1.2833;103.8333;;Singapore;2020-03-13;200;0;97;103;22;0;1
1.2833;103.8333;;Singapore;2020-03-14;212;0;105;107;12;0;8
1.2833;103.8333;;Singapore;2020-03-15;226;0;105;121;14;0;0
1.2833;103.8333;;Singapore;2020-03-16;243;0;109;134;17;0;4
1.2833;103.8333;;Singapore;2020-03-17;266;0;114;152;23;0;5
1.2833;103.8333;;Singapore;2020-03-18;313;0;114;199;47;0;0
1.2833;103.8333;;Singapore;2020-03-19;345;0;114;231;32;0;0
1.2833;103.8333;;Singapore;2020-03-20;385;0;124;261;40;0;10
1.2833;103.8333;;Singapore;2020-03-21;432;2;140;290;47;2;16
1.2833;103.8333;;Singapore;2020-03-22;455;2;144;309;23;0;4
1.2833;103.8333;;Singapore;2020-03-23;455.0;2.0;144.0;309.0;0.0;0.0;0.0
28.1667;84.25;;Nepal;2020-01-22;0;0;0;0;0;0;0
28.1667;84.25;;Nepal;2020-01-23;0;0;0;0;0;0;0
28.1667;84.25;;Nepal;2020-01-24;0;0;0;0;0;0;0
28.1667;84.25;;Nepal;2020-01-25;1;0;0;1;1;0;0
28.1667;84.25;;Nepal;2020-01-26;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-01-27;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-01-28;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-01-29;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-01-30;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-01-31;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-01;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-02;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-03;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-04;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-05;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-06;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-07;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-08;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-09;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-10;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-11;1;0;0;1;0;0;0
28.1667;84.25;;Nepal;2020-02-12;1;0;1;0;0;0;1
28.1667;84.25;;Nepal;2020-02-13;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-14;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-15;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-16;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-17;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-18;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-19;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-20;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-21;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-22;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-23;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-24;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-25;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-26;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-27;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-28;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-02-29;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-01;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-02;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-03;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-04;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-05;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-06;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-07;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-08;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-09;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-10;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-11;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-12;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-13;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-14;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-15;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-16;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-17;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-18;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-19;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-20;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-21;1;0;1;0;0;0;0
28.1667;84.25;;Nepal;2020-03-22;2;0;1;1;1;0;0
28.1667;84.25;;Nepal;2020-03-23;2.0;0.0;1.0;1.0;0.0;0.0;0.0
2.5;112.5;;Malaysia;2020-01-22;0;0;0;0;0;0;0
2.5;112.5;;Malaysia;2020-01-23;0;0;0;0;0;0;0
2.5;112.5;;Malaysia;2020-01-24;0;0;0;0;0;0;0
2.5;112.5;;Malaysia;2020-01-25;3;0;0;3;3;0;0
2.5;112.5;;Malaysia;2020-01-26;4;0;0;4;1;0;0
2.5;112.5;;Malaysia;2020-01-27;4;0;0;4;0;0;0
2.5;112.5;;Malaysia;2020-01-28;4;0;0;4;0;0;0
2.5;112.5;;Malaysia;2020-01-29;7;0;0;7;3;0;0
2.5;112.5;;Malaysia;2020-01-30;8;0;0;8;1;0;0
2.5;112.5;;Malaysia;2020-01-31;8;0;0;8;0;0;0
2.5;112.5;;Malaysia;2020-02-01;8;0;0;8;0;0;0
2.5;112.5;;Malaysia;2020-02-02;8;0;0;8;0;0;0
2.5;112.5;;Malaysia;2020-02-03;8;0;0;8;0;0;0
2.5;112.5;;Malaysia;2020-02-04;10;0;0;10;2;0;0
2.5;112.5;;Malaysia;2020-02-05;12;0;0;12;2;0;0
2.5;112.5;;Malaysia;2020-02-06;12;0;0;12;0;0;0
2.5;112.5;;Malaysia;2020-02-07;12;0;1;11;0;0;1
2.5;112.5;;Malaysia;2020-02-08;16;0;1;15;4;0;0
2.5;112.5;;Malaysia;2020-02-09;16;0;1;15;0;0;0
2.5;112.5;;Malaysia;2020-02-10;18;0;1;17;2;0;0
2.5;112.5;;Malaysia;2020-02-11;18;0;3;15;0;0;2
2.5;112.5;;Malaysia;2020-02-12;18;0;3;15;0;0;0
2.5;112.5;;Malaysia;2020-02-13;19;0;3;16;1;0;0
2.5;112.5;;Malaysia;2020-02-14;19;0;3;16;0;0;0
2.5;112.5;;Malaysia;2020-02-15;22;0;7;15;3;0;4
2.5;112.5;;Malaysia;2020-02-16;22;0;7;15;0;0;0
2.5;112.5;;Malaysia;2020-02-17;22;0;7;15;0;0;0
2.5;112.5;;Malaysia;2020-02-18;22;0;13;9;0;0;6
2.5;112.5;;Malaysia;2020-02-19;22;0;15;7;0;0;2
2.5;112.5;;Malaysia;2020-02-20;22;0;15;7;0;0;0
2.5;112.5;;Malaysia;2020-02-21;22;0;15;7;0;0;0
2.5;112.5;;Malaysia;2020-02-22;22;0;15;7;0;0;0
2.5;112.5;;Malaysia;2020-02-23;22;0;15;7;0;0;0
2.5;112.5;;Malaysia;2020-02-24;22;0;18;4;0;0;3
2.5;112.5;;Malaysia;2020-02-25;22;0;18;4;0;0;0
2.5;112.5;;Malaysia;2020-02-26;22;0;18;4;0;0;0
2.5;112.5;;Malaysia;2020-02-27;23;0;18;5;1;0;0
2.5;112.5;;Malaysia;2020-02-28;23;0;18;5;0;0;0
2.5;112.5;;Malaysia;2020-02-29;25;0;18;7;2;0;0
2.5;112.5;;Malaysia;2020-03-01;29;0;18;11;4;0;0
2.5;112.5;;Malaysia;2020-03-02;29;0;18;11;0;0;0
2.5;112.5;;Malaysia;2020-03-03;36;0;22;14;7;0;4
2.5;112.5;;Malaysia;2020-03-04;50;0;22;28;14;0;0
2.5;112.5;;Malaysia;2020-03-05;50;0;22;28;0;0;0
2.5;112.5;;Malaysia;2020-03-06;83;0;22;61;33;0;0
2.5;112.5;;Malaysia;2020-03-07;93;0;23;70;10;0;1
2.5;112.5;;Malaysia;2020-03-08;99;0;24;75;6;0;1
2.5;112.5;;Malaysia;2020-03-09;117;0;24;93;18;0;0
2.5;112.5;;Malaysia;2020-03-10;129;0;24;105;12;0;0
2.5;112.5;;Malaysia;2020-03-11;149;0;26;123;20;0;2
2.5;112.5;;Malaysia;2020-03-12;149;0;26;123;0;0;0
2.5;112.5;;Malaysia;2020-03-13;197;0;26;171;48;0;0
2.5;112.5;;Malaysia;2020-03-14;238;0;35;203;41;0;9
2.5;112.5;;Malaysia;2020-03-15;428;0;42;386;190;0;7
2.5;112.5;;Malaysia;2020-03-16;566;0;42;524;138;0;0
2.5;112.5;;Malaysia;2020-03-17;673;2;49;622;107;2;7
2.5;112.5;;Malaysia;2020-03-18;790;2;60;728;117;0;11
2.5;112.5;;Malaysia;2020-03-19;900;2;75;823;110;0;15
2.5;112.5;;Malaysia;2020-03-20;1030;3;87;940;130;1;12
2.5;112.5;;Malaysia;2020-03-21;1183;4;114;1065;153;1;27
2.5;112.5;;Malaysia;2020-03-22;1306;10;139;1157;123;6;25
2.5;112.5;;Malaysia;2020-03-23;1306.0;10.0;139.0;1157.0;0.0;0.0;0.0
49.2827;-123.1207;British Columbia;Canada;2020-01-22;0;0;0;0;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-23;0;0;0;0;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-24;0;0;0;0;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-25;0;0;0;0;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-26;0;0;0;0;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-27;0;0;0;0;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-28;1;0;0;1;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-29;1;0;0;1;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-30;1;0;0;1;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-01-31;1;0;0;1;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-01;1;0;0;1;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-02;1;0;0;1;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-03;1;0;0;1;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-04;1;0;0;1;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-05;2;0;0;2;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-06;2;0;0;2;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-07;4;0;0;4;2;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-08;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-09;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-10;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-11;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-12;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-13;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-14;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-15;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-16;4;0;0;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-17;5;0;0;5;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-18;5;0;0;5;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-19;5;0;0;5;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-20;5;0;0;5;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-21;6;0;0;6;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-22;6;0;0;6;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-23;6;0;0;6;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-24;6;0;0;6;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-25;7;0;0;7;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-26;7;0;0;7;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-27;7;0;3;4;0;0;3
49.2827;-123.1207;British Columbia;Canada;2020-02-28;7;0;3;4;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-02-29;8;0;3;5;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-01;8;0;3;5;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-02;8;0;3;5;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-03;9;0;3;6;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-04;12;0;3;9;3;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-05;13;0;3;10;1;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-06;21;0;3;18;8;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-07;21;0;4;17;0;0;1
49.2827;-123.1207;British Columbia;Canada;2020-03-08;27;0;4;23;6;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-09;32;1;4;27;5;1;0
49.2827;-123.1207;British Columbia;Canada;2020-03-10;32;1;4;27;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-11;39;1;4;34;7;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-12;46;1;4;41;7;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-13;64;1;4;59;18;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-14;64;1;4;59;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-15;73;1;4;68;9;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-16;103;4;4;95;30;3;0
49.2827;-123.1207;British Columbia;Canada;2020-03-17;103;4;4;95;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-18;186;7;4;175;83;3;0
49.2827;-123.1207;British Columbia;Canada;2020-03-19;231;7;4;220;45;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-20;271;8;4;259;40;1;0
49.2827;-123.1207;British Columbia;Canada;2020-03-21;424;10;4;410;153;2;0
49.2827;-123.1207;British Columbia;Canada;2020-03-22;424;10;4;410;0;0;0
49.2827;-123.1207;British Columbia;Canada;2020-03-23;424.0;10.0;4.0;410.0;0.0;0.0;0.0
-33.8688;151.2093;New South Wales;Australia;2020-01-22;0;0;0;0;0;0;0
-33.8688;151.2093;New South Wales;Australia;2020-01-23;0;0;0;0;0;0;0
-33.8688;151.2093;New South Wales;Australia;2020-01-24;0;0;0;0;0;0;0
